Team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Year
Arizona Diamondbacks,51,28.3,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,.250,.322,.413,.736,99,2240,82,61,50,33,55,1064,2011
Atlanta Braves,45,28.9,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,.243,.308,.387,.695,90,2140,113,28,75,30,45,1109,2011
Baltimore Orioles,50,28.3,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,.257,.316,.413,.729,97,2306,154,52,24,43,24,1069,2011
Boston Red Sox,49,30.0,5.40,162,6414,5710,875,1600,352,35,203,842,102,42,578,1108,.280,.349,.461,.810,116,2631,136,50,22,50,52,1190,2011
Chicago Cubs,42,29.2,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,.256,.314,.401,.715,95,2224,123,59,60,35,35,1141,2011
Chicago White Sox,42,30.0,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,.252,.319,.388,.706,89,2133,125,84,52,46,31,1126,2011
Cincinnati Reds,42,28.6,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,.256,.326,.408,.734,98,2289,98,63,78,40,52,1189,2011
Cleveland Indians,46,27.8,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,.250,.317,.396,.714,100,2184,111,65,31,43,30,1075,2011
Colorado Rockies,55,28.6,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,.258,.329,.410,.739,88,2272,112,57,75,44,54,1172,2011
Detroit Tigers,45,28.7,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,.277,.340,.434,.773,109,2412,142,39,50,58,47,1165,2011
Florida Marlins,44,27.4,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,.247,.318,.388,.706,93,2139,111,51,89,42,38,1198,2011
Houston Astros,47,28.2,3.80,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,.258,.311,.374,.684,89,2092,111,46,66,37,34,1154,2011
Kansas City Royals,42,25.8,4.51,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,.275,.329,.415,.744,104,2354,121,39,55,57,37,1156,2011
Los Angeles Angels of Anaheim,43,28.9,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,.253,.313,.402,.714,102,2216,126,51,50,32,33,1051,2011
Los Angeles Dodgers,48,29.8,4.00,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,95,2039,101,45,71,43,61,1165,2011
Milwaukee Brewers,48,28.9,4.45,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,.261,.325,.425,.750,102,2315,114,56,85,44,53,1110,2011
